code,arp2_code,name,type,address,locality,latitude,longitude
D64,7729,Baixa da Banheira,loja,"Rua Padre José Feliciano, 46/8",Barreiro,38.65832778,-9.043316667
E34,8058,Balazar,loja,"Rua da Fábrica, nº 496 R/C",Balazar,41.41452,-8.65053
D80,7766,Barata Salgueiro,loja,"Rua Barata Salgueiro, nº 4",Lisboa,38.72275833,-9.145947222
D09,8848,Barcelos,loja,"Largo Campo 25 de Abril, 49",Barcelos,41.535528,-8.615547
D60,7720,Barreiro,loja,"Rua Professor Egas Moniz, nº 3",Barreiro,38.6617944,-9.0771278
A99,9614,Barreiro I,loja,"Av Alfredo da Silva, nº 32 A",Barreiro,38.660339,-9.079413
E57,7734,Barreiro II,loja,"Rua Bartolomeu Dias, 6A",Barreiro,38.659908,-9.062813
E67,7713,Barreiro III,loja,"Largo da Quinta Grande, nº 19",Barreiro,38.65681944,-9.070922222
D56,8942,Barroselas,loja,"Rua dos Reis Magos s/n, Mujães",Viana do Castelo,41.6482241,-8.7061271
F09,7816,Beja,loja,Mercado Municipal - Rua D. Afonso Henriques,Beja,38.01205,-7.85849
B70,9816,Belas,loja,"Rua Dona Mariana Vitória, Lote 182  Massamá Norte",Belas,38.76255833,-9.277027778
H14,7050,Belmonte,loja,"Rua Pedro Alvares Cabral, nº 107",Belmonte,40.35746,-7.35202
B77,9828,Benavente,loja,"Rua Dr.António Sousa Dias, s/n – EN 118",Benavente,38.97451111,-8.814622222
D62,7764,Benfica,loja,"Estrada de Benfica, nº 350",Lisboa,38.74491667,-9.180138889
B89,9604,Benfica I,loja,Estrada de Benfica nº 402,Lisboa,38.747134,-9.186901
A61,2134,Benfica II,loja,"Avenida Gomes Pereira, 93/A",Lisboa,38.747192,-9.197816
E71,7745,Benfica V,loja,"Rua Jorge Barradas, nº 212",Lisboa,38.756125,-9.202869444
A52,2104,Boa Hora,loja,"Travessa da Boa Hora à Ajuda, nº 39",Lisboa,38.703474,-9.197153
D70,7854,Bobadela,loja,"Rua Martires do Tarrafal, 19 - Bobadela",Sacavém,38.80753,-9.10203
E77,7813,Bom Sucesso,loja,"Largo Catarina Eufémia, nº2",Bom Sucesso,38.90351,-9.04736
H48,8039,Boticas,loja,Rua do Municipio,Boticas,41.6874,-7.66727
A34,486,Braga,loja,"Rua Ponte Pedrinha, S/N",Braga,41.538237,-8.43239
D54,8938,Braga - São Vicente,loja,"Rua Doutor Loureiro Amorim, Nº 40",Braga,41.559105556,-8.414144444
A04,11,Braga I,loja,"Avenida da Liberdade, nº 454",Braga,41.548030556,-8.420977778
D91,8858,Braga I,loja,"Rua do Caires, nº 232",Braga,41.547011,-8.433479
D02,8846,Braga II,loja,"Avenida Dr. Porfírio da Silva, n.º 264",Braga,41.545195,-8.412585
D07,8843,Braga III,loja,"Rua Gabriel Ferreira de Castro, n.º37",Braga,41.554966,-8.423646
D28,8939,Braga Real,loja,"Urbanização de Santa Bárbara, Lote 11",Braga,41.555941667,-8.434113889
E42,8829,Bragança,loja,"Alameda de Santa Apolónia, nºA e nº20 - Bairro Artur Mirandela",Bragança,41.792819,-6.769231
E06,8814,Bragança,loja,"Avenida Francisco Sá Carneiro, 98 - 100",Bragança,41.80374,-6.76039
B05,7881,Brandoa,loja,"Rua Herculano de Carvalho, Lote 652 - Loja Esquerda",Amadora,38.766989,-9.213711
B27,9697,Brandoa,loja,"Rua da Liberdade, lote 112",Brandoa,38.768024,-9.215073
F10,7914,Brejos de Azeitão,loja,"Avenida Luisa Tody, S/N",Azeitão,38.545575,-9.030341667
I691,,Brioxa,fornecedor,"Rua praca general humberto, 60","reguenga, Santo tirso",41.3404643,-8.4792388
B24,9685,Buraca,loja,"Rua Tristão Vaz, lote 5",Amadora,38.74143611,-9.206886111
H30,7611,Burgau,loja,Rua Principal. Centro Comercial do Burgau. 1ª Loja,Burgau,37.0742,-8.77373
A68,2185,Cacém,loja,"Rua D. Maria II, nº 2 cv",Agualva - Cacém,38.76860556,-9.301197222
D59,7719,Cacém,loja,"Rua Afonso Albuquerque, n.º6",Cacém,38.76748056,-9.298561111
A85,9780,Cacém,loja,"Rua Coração de Maria, 01 loja M-45 Centro Comercial Cacém",Cacém,38.76966,-9.31048
B21,9680,Cacém II,loja,"Avenida dos Bons Amigos, 44 A",Cacém,38.76952467071154,-9.294668732491292
E22,7837,Cadaval,loja,"Av. Dr. Francisco Sá Carneiro, Nº 49",Cadaval,39.24069,-9.10381
B66,9807,Caldas da Rainha,loja,Avenida Timor Lorosae,Caldas da Rainha,39.4026524,-9.1489178
D68,7808,Caldas da Rainha,loja,"Rua Eng. Duarte Pacheco,5/9",Caldas da Rainha,39.406251,-9.1351372
52,,Caldas Rainha,loja,Centro comercial Lavie,Caldas da Rainha,39.401216,-9.136873
A55,2114,Calhariz,loja,"Largo do Calhariz, nº 10",Lisboa,38.71074444,-9.145619444
A50,2089,Calvário,loja,"Largo do Calvário, 29",Lisboa,38.70484444,-9.177466667
A53,2107,Camarate,loja,"Praça 1º de Maio, Lote 7 e 8 - Camarate",Sacavém,38.801661,-9.1290787
E04,8801,Caminha,loja,"Lugar Fonte da Vila, loja A",Caminha,41.87151,-8.83376
A77,2312,Campanhã,loja,"Rua do Heroismo, 152/164",Porto,41.146886,-8.591293
D06,8874,Campanhã,loja,"Rua da Estação, nº 105 a 109",Porto,41.147712,-8.586229
57,,Campera,loja,"Cento Comercial Campera - Estrada Nacional 3, km 0,149",Carregado,39.027952,-8.967014
A43,2051,Campo de Ourique,loja,"Rua Saraiva de Carvalho, nº 254",Lisboa,38.715422206456346,-9.164526267041643
E51,7824,Campolide,loja,"Rua de Campolide, nº 108",Lisboa,38.72926,-9.16254
H37,7635,Caneças,loja,"Rua dos Bombeiros Voluntários de Caneças, loja nº 13",Caneças,38.798141,-9.1622803
65,,Canidelo,loja,"Rua do Emissor, 236/238",Vila Nova Gaia,41.131535,-8.647068
A26,434,Canidelo,loja,Rua da Bélgica nº 2735,Canidelo,41.127955556,-8.6405
H31,7615,Cano,loja,"Rua Capitão Pais Falcato, nº 4",Cano,38.963586,-7.7588925
H69,8132,Cantanhede,loja,"Rua dos Namorados, nº58 e 60",Cantanhede,40.3459599,-8.5921798
E25,7876,Caranguejeira,loja,"Rua de Fátima, nº 52 - A",Caranguejeira,39.73232,-8.70521
B01,9617,Carlos Mardel,loja,"Rua Carlos Mardel, nº 49 - A",Lisboa,38.73531389,-9.133233333
Nobre,,Carnes Nobre,fornecedor,835P+GH Rio Maior,Rio Maior,39.308913404567726,-8.913610264374782
H52,8068,Carrazeda de Ansiães,loja,"Rua Luís de Camões, nº 952",Carrazeda de Ansiães,41.24189,-7.30685
H07,7014,Carriço,loja,"Estrada Nacional, nº 109, S/N",Pombal,39.96557,-8.79109
F05,7909,Cartaxo,loja,"Rua 16 de Novembro, S/N",Cartaxo,39.155038889,-8.789841667
H76,8618,Carvalhais,loja,"Rua Padre José Rodrigues de Barros, nº 94 Anta",Carvalhais,40.908289,-8.059002
H35,7628,Carvoeiro,loja,Rua do Cerro s/n,Carvoeiro,37.098255,-8.465538
E78,7899,Casal de S. Brás,loja,"Rua 17 de Setembro, n.º2",Amadora,38.768397222,-9.230236111
E24,7875,Casal do Chapim,loja,Rua Diogo de Silves,Odivelas,38.799525,-9.180249
A60,2133,Cascais,loja,"Avenida 25 de Abril, nº 92",Cascais,38.70123056,-9.421394444
22,,Cascais Nascente,loja,Av Marechal Carmona,Cascais,38.7018325,-9.4148383
A83,9785,Castanheira do Ribatejo,loja,"Rua João Batista Correia, Nº 1 J Lj 5",Castanheira do Ribatejo,38.994695,-8.972169
B91,9745,Castelo Branco,loja,"Avenida General Humberto Delgado, nº 74",Castelo Branco,39.8241265,-7.4898353
B65,9806,Castelo Branco,loja,Estrada do Salgueiro,Castelo Branco,39.83372222,-7.496766667
28,,Castelo Branco,loja,"Centro Comercial Alegro Castelo Branco , Rua A - Zona Industrial",Castelo Branco,39.815722,-7.520939
D33,8952,Castelo de Paiva,loja,"Rua D José de Arrochela, S/N",Castelo de Paiva,41.044261111,-8.271241667
I104,,Caves Avelar,fornecedor,"Estrada de Coimbra, Pontão -",Ribatejo,39.9955212,-8.7549925
H20,7103,Caxarias,loja,"R. 9 de Junho, nº 47",Caxarias,39.71609,-8.54736
E05,8853,Caxinas,loja,"Avenida Dr. Carlos Pinto Ferreira,360 a 366",Vila do Conde,41.362857,-8.758008
E32,8054,Celorico da Beira,loja,"E.N. 17, n.º 16",Casas de Soeiro,40.6243456,-7.4029937
H38,7640,Cercal,loja,"Rua Principal, 63",Cercal,39.70730268097645,-8.664708559082433
