code,name,latitude,longitude,raio,validado
25,Auchan Alfragide,38.727488715346,-9.219696521759,200,True
12,Auchan Almada,38.659677196838,-9.1754025220871,200,True
29,Auchan Alverca,38.8882102347,-9.04363632202,210,True
14,Auchan Amadora,38.776963709814,-9.2192513253954,270,True
24,Auchan Amoreiras,38.722338317285,-9.1617841293019,80,True
32,Auchan Aveiro,40.627631671785,-8.6436009682527,150,True
7001,Auchan Azambuja,39.043191355535,-8.9206650853157,0,True
52,Auchan Caldas da Rainha,39.400880550514,-9.1367944255935,80,True
57,Auchan Campera,39.0275979883,-8.96588981152,80,True
65,Auchan Canidelo,41.131944444444,-8.6463611111111,150,True
15,Auchan Cascais,38.7026174432,-9.41601008177,150,True
28,Auchan Castelo Branco,39.816101105249,-7.5194794074165,150,True
9,Auchan Coimbra,40.203415016899,-8.4081687314774,140,True
19,Auchan Coina,38.582935579721,-9.0445028042263,130,True
7005,Auchan Congelados,39.042644000954,-8.920619584043,50,True
62,Auchan Eiras,40.2537461197,-8.43031167984,150,True
21,Auchan Évora,38.54992264113,-7.9051980285852,130,True
31,Auchan Famalicão,41.412743856545,-8.5128897817399,150,True
33,Auchan Faro,37.029033897578,-7.9439973492092,100,True
34,Auchan Figueira da Foz,40.166424731591,-8.861095905304,100,True
8,Auchan Gaia,41.141194444444,-8.6380277777778,150,True
35,Auchan Gondomar,41.176039217576,-8.5644543170929,60,True
54,Auchan Guarda,40.540315508634,-7.2661948769887,120,True
17,Auchan Guimarães,41.448964829899,-8.3426676223543,150,True
63,Auchan Lagoa,37.13675,-8.4655833333333,130,True
26,Auchan Maia,41.2494994408,-8.62316250801,150,True
16,Auchan Matosinhos,41.2078149862,-8.6873960495,150,True
53,Auchan Olhão,37.035444444444,-7.8407222222222,130,True
18,Auchan Paço de Arcos,38.705558899551,-9.2941859165668,0,False
23,Auchan Portimão,37.147256827129,-8.5430472394256,130,False
27,Auchan Setubal,38.53770545902,-8.8757461309433,110,True
38,Auchan Sintra,38.77844,-9.34917,400,True
30,Auchan Sto Tirso,41.330861111111,-8.47675,150,True
13,Auchan Torres Vedras,39.101567400204,-9.2538174249331,50,True
39,Auchan Vila do Conde,41.361114907266,-8.7444400417913,116,True
36,Auchan Vila Real,41.297085938434,-7.7358858055538,100,True
10,Auchan Viseu,40.643151864988,-7.9121732711792,150,True
459,My Auchan A.  Linha das Torres,38.772651204733,-9.161739479299,50,True
429,My Auchan Adelaide Cabete,38.757936162629,-9.1867295656414,67,True
419,My Auchan Algés,38.700538366846,-9.2296366944774,66,True
417,My Auchan Almada II,38.677064345012,-9.1638169067112,50,True
440,My Auchan Alvares Cabral,38.718263261584,-9.1568478266176,50,True
409,My Auchan Av Almirante Reis,38.727130780886,-9.1346638748341,71,True
421,My Auchan Av Almirante Reis II,38.736115007211,-9.1341299834323,67,True
413,My Auchan Av da Republica,38.739621630293,-9.1466387478504,74,True
454,My Auchan Avenida Boavista,41.156937842799,-8.6245248891942,50,True
428,My Auchan Avenida Brasil,38.755184845831,-9.1499539656414,70,True
461,My Auchan Baixa da Banheira,38.65383,-9.04667,50,False
422,My Auchan Beneficiência,38.742473451512,-9.156902430515,70,True
411,My Auchan Benfica,38.746855113575,-9.1810449656414,70,True
